Date,Price,Open,High,Low,Change %
"Dec 31, 2020",204.58,204.58,204.58,204.58,0.62%
"Dec 30, 2020",203.32,203.32,203.32,203.32,-0.33%
"Dec 29, 2020",204.0,204.0,204.0,204.0,-0.01%
"Dec 28, 2020",204.02,204.02,204.02,204.02,0.41%
"Dec 24, 2020",203.19,203.19,203.19,203.19,0.32%
"Dec 23, 2020",202.54,202.54,202.54,202.54,0.16%
"Dec 22, 2020",202.21,202.21,202.21,202.21,0.30%
"Dec 21, 2020",201.61,201.61,201.61,201.61,-0.62%
"Dec 18, 2020",202.86,202.86,202.86,202.86,-0.24%
"Dec 17, 2020",203.34,203.34,203.34,203.34,0.30%
"Dec 16, 2020",202.74,202.74,202.74,202.74,0.14%
"Dec 15, 2020",202.46,202.46,202.46,202.46,0.70%
"Dec 14, 2020",201.05,201.05,201.05,201.05,-0.23%
"Dec 11, 2020",201.51,201.51,201.51,201.51,0.01%
"Dec 10, 2020",201.49,201.49,201.49,201.49,-0.44%
"Dec 09, 2020",202.39,202.39,202.39,202.39,-0.29%
"Dec 08, 2020",202.97,202.97,202.97,202.97,0.40%
"Dec 07, 2020",202.16,202.16,202.16,202.16,-0.07%
"Dec 04, 2020",202.3,202.3,202.3,202.3,0.85%
"Dec 03, 2020",200.6,200.6,200.6,200.6,-0.38%
"Dec 02, 2020",201.37,201.37,201.37,201.37,-0.18%
"Dec 01, 2020",201.74,201.74,201.74,201.74,0.42%
"Nov 30, 2020",200.89,200.89,200.89,200.89,-0.80%
"Nov 27, 2020",202.51,202.51,202.51,202.51,0.12%
"Nov 26, 2020",202.27,202.27,202.27,202.27,0.03%
"Nov 25, 2020",202.21,202.21,202.21,202.21,-0.23%
"Nov 24, 2020",202.68,202.68,202.68,202.68,1.12%
"Nov 23, 2020",200.43,200.43,200.43,200.43,0.57%
"Nov 20, 2020",199.29,199.29,199.29,199.29,-0.36%
"Nov 19, 2020",200.01,200.01,200.01,200.01,0.43%
"Nov 18, 2020",199.15,199.15,199.15,199.15,-0.58%
"Nov 17, 2020",200.32,200.32,200.32,200.32,-0.44%
"Nov 16, 2020",201.2,201.2,201.2,201.2,1.13%
"Nov 13, 2020",198.95,198.95,198.95,198.95,0.82%
"Nov 12, 2020",197.34,197.34,197.34,197.34,-1.27%
"Nov 11, 2020",199.88,199.88,199.88,199.88,1.48%
"Nov 10, 2020",196.96,196.96,196.96,196.96,0.13%
"Nov 09, 2020",196.7,196.7,196.7,196.7,1.74%
"Nov 06, 2020",193.34,193.34,193.34,193.34,-0.25%
"Nov 05, 2020",193.83,193.83,193.83,193.83,1.07%
"Nov 04, 2020",191.77,191.77,191.77,191.77,2.17%
"Nov 03, 2020",187.69,187.69,187.69,187.69,1.21%
"Nov 02, 2020",185.44,185.44,185.44,185.44,1.37%
"Oct 30, 2020",182.93,182.93,182.93,182.93,-1.01%
"Oct 29, 2020",184.8,184.8,184.8,184.8,1.33%
"Oct 28, 2020",182.37,182.37,182.37,182.37,-2.39%
"Oct 27, 2020",186.83,186.83,186.83,186.83,-0.57%
"Oct 26, 2020",187.91,187.91,187.91,187.91,-1.52%
"Oct 23, 2020",190.82,190.82,190.82,190.82,0.33%
"Oct 22, 2020",190.2,190.2,190.2,190.2,0.53%
"Oct 21, 2020",189.19,189.19,189.19,189.19,-0.56%
"Oct 20, 2020",190.26,190.26,190.26,190.26,-0.09%
"Oct 19, 2020",190.44,190.44,190.44,190.44,-1.54%
"Oct 16, 2020",193.42,193.42,193.42,193.42,0.09%
"Oct 15, 2020",193.25,193.25,193.25,193.25,-0.21%
"Oct 14, 2020",193.65,193.65,193.65,193.65,-0.65%
"Oct 13, 2020",194.92,194.92,194.92,194.92,0.03%
"Oct 12, 2020",194.87,194.87,194.87,194.87,1.34%
"Oct 09, 2020",192.29,192.29,192.29,192.29,0.29%
"Oct 08, 2020",191.73,191.73,191.73,191.73,0.78%
"Oct 07, 2020",190.25,190.25,190.25,190.25,1.38%
"Oct 06, 2020",187.66,187.66,187.66,187.66,-0.86%
"Oct 05, 2020",189.28,189.28,189.28,189.28,1.18%
"Oct 02, 2020",187.08,187.08,187.08,187.08,-0.56%
"Oct 01, 2020",188.14,188.14,188.14,188.14,0.38%
"Sep 30, 2020",187.43,187.43,187.43,187.43,0.37%
"Sep 29, 2020",186.74,186.74,186.74,186.74,-0.85%
"Sep 28, 2020",188.34,188.34,188.34,188.34,2.75%
"Sep 24, 2020",183.3,183.3,183.3,183.3,0.16%
"Sep 23, 2020",183.0,183.0,183.0,183.0,-1.43%
"Sep 22, 2020",185.66,185.66,185.66,185.66,1.01%
"Sep 21, 2020",183.81,183.81,183.81,183.81,-0.75%
"Sep 18, 2020",185.19,185.19,185.19,185.19,-1.08%
"Sep 17, 2020",187.22,187.22,187.22,187.22,-0.65%
"Sep 16, 2020",188.44,188.44,188.44,188.44,0.00%
"Sep 15, 2020",188.44,188.44,188.44,188.44,0.76%
"Sep 14, 2020",187.02,187.02,187.02,187.02,1.11%
"Sep 10, 2020",184.96,184.96,184.96,184.96,-1.59%
"Sep 09, 2020",187.95,187.95,187.95,187.95,1.63%
"Sep 08, 2020",184.93,184.93,184.93,184.93,-1.97%
"Sep 07, 2020",188.65,188.65,188.65,188.65,0.14%
"Sep 04, 2020",188.39,188.39,188.39,188.39,-0.84%
"Sep 03, 2020",189.99,189.99,189.99,189.99,-2.69%
"Sep 02, 2020",195.24,195.24,195.24,195.24,2.14%
"Sep 01, 2020",191.15,191.15,191.15,191.15,0.45%
"Aug 31, 2020",190.29,190.29,190.29,190.29,-0.57%
"Aug 28, 2020",191.38,191.38,191.38,191.38,0.78%
"Aug 25, 2020",189.89,189.89,189.89,189.89,1.69%
"Aug 20, 2020",186.74,186.74,186.74,186.74,0.18%
"Aug 19, 2020",186.4,186.4,186.4,186.4,-0.03%
"Aug 18, 2020",186.45,186.45,186.45,186.45,-0.12%
"Aug 17, 2020",186.67,186.67,186.67,186.67,-0.01%
"Aug 14, 2020",186.69,186.69,186.69,186.69,-0.17%
