Date,Price,Open,High,Low,Vol.,Change %
12/30/2020,253.84,253.82,253.95,253.42,1.98K,+0.01%
12/29/2020,253.82,253.7,253.82,253.41,1.69K,+0.11%
12/28/2020,253.55,254.18,254.29,253.5,1.49K,-0.25%
12/23/2020,254.18,254.9,255.1,253.67,3.36K,-0.37%
12/22/2020,255.13,254.47,255.13,253.33,4.34K,+0.28%
12/21/2020,254.41,254.62,255.43,254.22,7.98K,+0.02%
12/18/2020,254.35,254.0,254.35,253.5,3.20K,-0.06%
12/17/2020,254.5,254.4,254.85,254.31,2.28K,-0.23%
12/16/2020,255.09,254.55,255.09,254.24,5.94K,-0.05%
12/15/2020,255.23,255.15,255.77,255.01,3.09K,-0.11%
12/14/2020,255.52,255.61,256.4,254.92,2.98K,-0.13%
12/11/2020,255.84,255.51,256.19,255.51,2.50K,+0.17%
12/10/2020,255.41,255.23,255.81,254.88,1.94K,-0.11%
12/09/2020,255.69,254.97,255.69,254.73,3.24K,+0.21%
12/08/2020,255.16,254.85,255.26,254.64,0.21K,+0.17%
12/07/2020,254.72,254.25,254.82,254.06,2.79K,+0.39%
12/04/2020,253.74,254.06,254.29,253.61,15.91K,+0.39%
12/03/2020,252.75,253.91,254.52,252.75,12.27K,-1.13%
12/02/2020,255.63,254.68,255.63,253.91,20.49K,+0.17%
12/01/2020,255.2,257.1,257.11,255.19,2.93K,-0.87%
11/30/2020,257.43,257.18,257.43,256.75,1.98K,-0.05%
11/27/2020,257.57,257.72,258.78,257.24,3.70K,-0.17%
11/26/2020,258.01,257.19,259.11,257.19,6.91K,+0.05%
11/25/2020,257.88,257.26,258.07,257.26,1.97K,+0.10%
11/24/2020,257.63,258.45,258.45,256.17,7.81K,-0.44%
11/23/2020,258.78,258.85,258.88,258.1,16.07K,-0.03%
11/20/2020,258.85,258.47,258.85,258.46,3.19K,+0.15%
11/19/2020,258.47,258.5,258.9,258.31,1.68K,+0.02%
11/18/2020,258.41,258.24,258.49,257.91,3.32K,+0.29%
11/17/2020,257.67,257.72,257.91,257.27,3.72K,+0.03%
11/16/2020,257.6,259.12,259.12,256.95,3.93K,-0.59%
11/13/2020,259.12,257.82,259.12,257.33,3.72K,+0.63%
11/12/2020,257.51,257.03,257.6,256.71,4.42K,-0.53%
11/11/2020,258.87,256.51,258.87,256.4,2.85K,+0.84%
11/10/2020,256.72,257.01,257.1,256.19,1.52K,-0.70%
11/09/2020,258.53,258.7,258.9,255.75,5.82K,+0.02%
11/06/2020,258.47,259.4,259.52,258.23,2.76K,-0.46%
11/05/2020,259.67,260.03,260.03,259.17,1.28K,-0.36%
11/04/2020,260.6,260.4,260.83,259.68,4.00K,+0.47%
11/03/2020,259.37,259.86,259.86,258.34,3.67K,-0.49%
11/02/2020,260.66,259.86,260.66,259.85,1.01K,+0.14%
10/30/2020,260.3,259.93,260.39,259.11,2.76K,-0.12%
10/29/2020,260.61,259.58,260.61,259.56,24.11K,+0.56%
10/28/2020,259.17,259.73,260.04,258.78,2.27K,+0.26%
