Date,Price,Open,High,Low,Vol.,Change %
12/31/2020,80.62,80.37,80.62,80.37,0.92K,+0.25%
12/30/2020,80.42,80.36,80.43,80.22,0.50K,-0.54%
12/29/2020,80.86,81.21,81.21,80.63,4.72K,+0.93%
12/24/2020,80.11,80.34,80.39,79.72,0.50K,-0.37%
12/23/2020,80.4,80.98,81.2,80.31,3.89K,-1.20%
12/22/2020,81.39,80.99,81.42,80.76,1.45K,0.00%
12/21/2020,81.39,81.96,81.98,81.53,2.29K,+0.89%
12/18/2020,80.67,80.47,80.75,80.44,1.57K,+0.71%
12/17/2020,80.11,80.19,80.31,79.82,2.23K,-0.51%
12/16/2020,80.51,80.23,80.75,80.23,2.04K,-0.31%
12/15/2020,80.76,81.64,81.64,80.72,2.15K,-0.66%
12/14/2020,81.31,81.14,81.53,80.77,2.12K,-0.95%
12/11/2020,82.08,82.23,82.39,82.01,0.27K,+0.71%
12/10/2020,81.51,81.71,81.71,81.19,3.71K,+0.84%
12/09/2020,80.83,80.8,80.86,80.37,1.47K,-0.36%
12/08/2020,81.13,81.18,81.33,81.18,1.95K,-0.01%
12/07/2020,81.14,81.53,81.71,81.32,0.95K,+1.06%
12/04/2020,80.29,80.92,80.92,80.09,6.67K,-0.20%
12/03/2020,80.44,80.75,80.75,80.39,1.91K,-0.61%
12/02/2020,80.94,80.98,81.27,80.98,0.83K,+0.44%
12/01/2020,80.58,80.97,81.06,80.97,0.74K,-0.48%
11/30/2020,80.97,81.29,81.29,80.56,2.85K,+0.06%
11/27/2020,80.93,80.62,80.93,80.44,2.55K,+0.19%
11/26/2020,80.77,80.52,80.76,80.52,1.62K,+0.48%
11/25/2020,80.39,80.46,80.73,80.43,3.49K,-0.18%
11/24/2020,80.53,80.86,80.86,80.44,1.55K,-0.24%
11/23/2020,80.72,81.05,81.05,80.22,1.10K,-0.03%
11/20/2020,80.75,81.02,81.02,80.78,3.16K,-0.27%
11/19/2020,80.97,80.98,81.12,80.83,0.53K,+0.54%
11/18/2020,80.54,80.61,80.65,80.36,0.63K,-0.08%
11/17/2020,80.6,81.25,81.25,80.52,4.44K,-0.22%
11/16/2020,80.78,80.73,80.89,80.59,1.67K,+0.02%
11/13/2020,80.76,81.05,81.05,80.67,0.12K,+0.04%
11/12/2020,80.74,80.45,80.8,80.45,0.58K,+0.80%
11/11/2020,80.1,79.54,80.15,79.54,0.63K,-0.12%
11/10/2020,80.19,80.85,80.85,79.82,0.92K,-0.61%
11/09/2020,80.68,80.92,81.59,80.68,2.13K,-0.43%
11/06/2020,81.04,81.41,81.42,81.09,2.14K,-0.44%
11/05/2020,81.39,81.85,82.11,81.38,2.23K,-0.23%
11/04/2020,81.58,81.47,81.64,81.09,0.41K,+1.42%
11/03/2020,80.44,81.01,81.01,80.37,1.00K,-1.09%
11/02/2020,81.32,80.98,81.47,80.98,0.87K,+0.59%
10/30/2020,80.85,81.47,81.47,80.99,0.33K,-0.60%
