Date,Price,Open,High,Low,Vol.,Change %
12/31/2020,178.36,178.07,178.4,177.32,7.54M,+0.37%
12/30/2020,177.7,176.44,177.72,176.44,5.91M,+0.77%
12/29/2020,176.35,176.25,176.97,175.57,5.98M,+0.36%
12/28/2020,175.71,177.26,177.91,175.62,7.78M,-0.36%
12/24/2020,176.35,175.55,176.37,175.51,3.70M,+0.40%
12/23/2020,175.65,175.1,176.21,175.06,6.54M,+0.66%
12/22/2020,174.49,176.2,176.34,174.34,9.45M,-0.79%
12/21/2020,175.88,176.29,176.94,175.76,8.17M,-0.32%
12/18/2020,176.44,176.65,176.98,176.1,6.79M,-0.17%
12/17/2020,176.74,177.15,177.87,176.57,9.48M,+1.05%
12/16/2020,174.9,174.13,175.01,173.02,8.17M,+0.55%
12/15/2020,173.94,173.43,173.98,173.06,6.85M,+1.40%
12/14/2020,171.54,171.91,172.52,170.91,7.64M,-0.55%
12/11/2020,172.49,172.25,173.32,172.11,6.08M,+0.19%
12/10/2020,172.17,172.9,173.58,171.7,6.56M,-0.19%
12/09/2020,172.5,173.92,174.04,171.24,10.74M,-1.71%
12/08/2020,175.5,175.51,175.93,174.72,6.35M,+0.35%
12/07/2020,174.89,172.56,175.29,172.51,10.56M,+1.49%
12/04/2020,172.32,172.78,173.32,171.59,10.10M,-0.28%
12/03/2020,172.81,172.64,172.85,171.08,10.46M,+0.79%
12/02/2020,171.46,170.57,171.76,170.15,9.20M,+0.75%
12/01/2020,170.18,169.76,170.48,169.3,13.56M,+2.11%
11/30/2020,166.67,166.68,167.43,166.03,13.21M,-0.67%
11/27/2020,167.79,166.9,167.83,166.78,10.57M,-1.01%
11/25/2020,169.51,169.97,170.52,169.24,10.29M,-0.05%
11/24/2020,169.59,169.3,169.69,168.86,19.50M,-1.53%
11/23/2020,172.23,175.1,175.24,171.78,15.51M,-1.97%
11/20/2020,175.69,176.12,176.38,175.58,6.38M,+0.30%
11/19/2020,175.16,174.3,175.22,174.17,6.97M,-0.19%
11/18/2020,175.49,176.26,176.86,175.35,7.38M,-0.57%
11/17/2020,176.5,177.25,177.44,176.09,8.23M,-0.37%
11/16/2020,177.15,177.23,177.91,176.87,8.36M,-0.01%
11/13/2020,177.16,177.65,177.8,176.84,6.47M,+0.68%
11/12/2020,175.96,176.04,176.76,175.84,7.18M,+0.61%
11/11/2020,174.9,174.69,175.28,174.44,9.01M,-0.43%
11/10/2020,175.66,176.75,176.91,175.66,11.73M,+0.33%
11/09/2020,175.08,176.42,176.45,173.64,29.80M,-4.43%
11/06/2020,183.19,183.4,183.53,182.19,10.38M,+0.14%
11/05/2020,182.93,181.0,183.28,180.97,16.10M,+2.30%
11/04/2020,178.82,178.93,179.19,177.66,11.12M,-0.06%
11/03/2020,178.92,178.95,179.39,178.3,7.58M,+0.57%
11/02/2020,177.91,177.45,177.93,177.13,6.50M,+0.97%
10/30/2020,176.2,177.18,177.36,175.95,7.30M,+0.46%
10/29/2020,175.4,175.02,176.14,174.83,8.47M,-0.41%
10/28/2020,176.13,176.45,176.85,175.44,11.73M,-1.61%
10/27/2020,179.02,178.71,179.43,178.51,5.83M,+0.26%
10/26/2020,178.55,178.75,179.14,178.22,5.11M,-0.05%
10/23/2020,178.64,179.09,179.2,177.76,5.92M,-0.11%
10/22/2020,178.83,178.88,179.03,177.72,8.38M,-0.98%
10/21/2020,180.6,180.47,181.31,180.23,7.55M,+0.75%
10/20/2020,179.25,178.54,179.67,178.08,7.12M,+0.48%
10/19/2020,178.39,179.41,179.47,178.37,6.08M,+0.05%
10/16/2020,178.3,179.22,179.32,178.13,7.26M,-0.35%
10/15/2020,178.92,177.71,179.15,177.59,6.82M,+0.36%
10/14/2020,178.27,179.09,179.59,178.27,9.10M,+0.31%
10/13/2020,177.72,178.56,178.6,177.1,8.38M,-1.57%
10/12/2020,180.56,180.57,180.83,180.19,4.84M,-0.29%
10/09/2020,181.08,180.13,181.17,179.93,15.98M,+1.82%
10/08/2020,177.85,178.18,178.45,176.67,6.53M,+0.36%
10/07/2020,177.22,177.09,177.42,176.43,6.41M,-0.05%
10/06/2020,177.3,180.16,180.37,177.05,8.63M,-1.18%
10/05/2020,179.41,179.02,180.14,178.9,6.97M,+0.49%
10/04/2020,178.54,178.54,178.54,178.54,,0.00%
10/03/2020,178.54,178.54,178.54,178.54,,0.00%
10/02/2020,178.54,178.69,179.29,178.16,7.49M,-0.09%
10/01/2020,178.7,178.71,179.5,178.04,10.40M,+0.89%
09/30/2020,177.12,177.71,178.61,176.66,8.37M,-0.60%
09/29/2020,178.19,177.19,178.33,176.95,8.76M,+0.84%
09/28/2020,176.7,175.83,176.81,175.09,7.11M,+1.01%
09/27/2020,174.94,174.94,174.94,174.94,,0.00%
09/26/2020,174.94,174.94,174.94,174.94,,0.00%
09/25/2020,174.94,174.41,175.3,173.89,6.78M,-0.28%
09/24/2020,175.44,174.36,176.24,173.77,11.76M,+0.37%
09/23/2020,174.79,176.98,177.26,174.1,18.13M,-2.16%
09/22/2020,178.65,179.63,180.02,178.11,7.98M,-0.48%
09/21/2020,179.52,179.84,180.29,176.75,17.44M,-2.01%
09/18/2020,183.2,183.07,184.09,182.64,9.96M,+0.13%
09/17/2020,182.96,181.92,183.09,181.48,8.84M,-0.55%
